zip,city,province,district,lon,lat
50384,Mailagaswewa,North Central Province,Anuradhapura,8.3916,80.6079
50386,Rampathwila,North Central Province,Anuradhapura,8.4028,80.6269
50390,Galenbindunuwewa,North Central Province,Anuradhapura,8.2833,80.7167
50392,Getalawa,North Central Province,Anuradhapura,8.3,80.7333
50393,Dutuwewa,North Central Province,Anuradhapura,8.3167,80.75
50394,Hurulunikawewa,North Central Province,Anuradhapura,8.3,80.7333
50448,Pandukabayapura,North Central Province,Anuradhapura,8.4661,80.5484
50450,Rambewa,North Central Province,Anuradhapura,8.4423,80.5054
50452,Kendewa,North Central Province,Anuradhapura,8.4858,80.6067
50454,Kallanchiya,North Central Province,Anuradhapura,8.4592,80.5643
50492,Wahamalgollewa,North Central Province,Anuradhapura,8.4771,80.5173
50500,Kebithigollewa,North Central Province,Anuradhapura,8.5345,80.4923
50500,Medawachchiya,North Central Province,Anuradhapura,8.5345,80.4923
50506,Punewa,North Central Province,Anuradhapura,8.6113,80.4715
50511,Kirigalwewa,North Central Province,Anuradhapura,8.4941,80.4801
50512,Pihimbiyagolewa,North Central Province,Anuradhapura,8.4941,80.4801
50514,Rathmalgahawewa,North Central Province,Anuradhapura,8.4941,80.4801
50516,Walahaviddawewa,North Central Province,Anuradhapura,8.4941,80.4801
50518,Etaweeragollewa,North Central Province,Anuradhapura,8.4941,80.4801
50552,Halmillawetiya,North Central Province,Anuradhapura,8.3407,80.2796
50554,Gonahaddenawa,North Central Province,Anuradhapura,8.5287,80.5148
50556,Kalawedi Ulpotha,North Central Province,Anuradhapura,8.5287,80.5148
50558,Tittagonewa,North Central Province,Anuradhapura,8.7167,80.75
50562,Kahatagollewa,North Central Province,Anuradhapura,8.4445,80.647
50564,Wahalkada,North Central Province,Anuradhapura,8.3807,80.4436
50566,Bogahawewa,North Central Province,Anuradhapura,8.3169,80.2401
50567,Pulmoddai,North Central Province,Anuradhapura,8.3807,80.4436
50570,Padaviya,North Central Province,Anuradhapura,8.4941,80.4801
50572,Padavi Maithripura,North Central Province,Anuradhapura,8.4941,80.4801
50574,Mahasenpura,North Central Province,Anuradhapura,8.4941,80.4801
50582,Padavi Parakramapura,North Central Province,Anuradhapura,8.4941,80.4801
50584,Etawatunuwewa,North Central Province,Anuradhapura,8.4941,80.4801
50586,Welioya Project,North Central Province,Anuradhapura,8.4941,80.4801
50587,Padavi Sripura,North Central Province,Anuradhapura,8.4941,80.4801
